Question,Answer
Penggunaan NPWP 16 Digit pada Aplikasi SAKTI dan SPAN,"Soal sering ditanya terkait Penggunaan NPWP 16 Digit pada Aplikasi SAKTI dan SPAN dapat diunduh melalui lampiran dibawah ini.
Link PDF: https://pajak.go.id/system/files/2024-02/NPWP_16_Digit_SAKTI_SPAN.pdf.pdf"
PMK-66 Tahun 2023 Terkait Natura,Link PDF: https://pajak.go.id/system/files/2023-12/FAQ%20Terkait%20PMK-66%20Tahun%202023.pdf
PMK-72 Tahun 2023 Terkait Amortisasi,Link PDF: https://pajak.go.id/system/files/2023-12/FAQ%20Terkait%20PMK-72%20Tahun%202023.pdf
Panduan Pemadanan NPWP Secara Langsung,"Layanan pemadanan Nomor Pokok Wajib Pajak (NPWP) dapat diberikan:
1. secara elektronik melalui portal layanan, web service, akun pajak.go.id pada laman resmi DJP;
2. secara langsung; dan
3. melalui Penyedia Jasa Aplikasi Perpajakan.
Panduan lebih lanjut Pemadanan NPWP Secara Langsung dapat dilihat pada dokumen terlampir di bawah ini.
Link PDF: https://pajak.go.id/system/files/2023-09/Panduan%20Teknis%20Pemadanan%20NPWP%20Secara%20Langsung.pdf"
Penyampaian SPT Masa  PPh Final dalam Rangka PPS,"Link PDF: https://pajak.go.id/system/files/2023-08/FAQ%20SPT%20Masa%20PPh%20Final%20dalam%20Rangka%20PPS.pdf
Link PDF: https://pajak.go.id/system/files/2023-08/Petunjuk%20Pengisian%20SPT%20Masa%20PPh%20Final%20dalam%20Rangka%20PPS.pdf"
Sistem Terdampak ILAP NPWP 16 Digit,"Link PDF: https://pajak.go.id/system/files/2023-12/FAQ%20Terkait%20NIK-NPWP_0.pdf
Link PDF: https://pajak.go.id/system/files/2023-12/FAQ%20Terkait%20NPWP%2016%20Digit.pdf
Link PDF: https://pajak.go.id/system/files/2023-12/FAQ%20Terkait%20NITKU.pdf
Link PDF: https://pajak.go.id/system/files/2023-12/FAQ%20Terkait%20Family%20Tax%20Unit.pdf"
Penataan Ulang Organisasi Instansi Vertikal Direktorat Jenderal Pajak,"Informasi tentang ""Penataan Ulang Organisasi Instansi Vertikal Direktorat Jenderal Pajak"" berbentuk tablist, buka link berikut untuk selengkapnya : https://pajak.go.id/id/penataan-ulang-organisasi-instansi-vertikal-direktorat-jenderal-pajak"
Penghentian Penyidikan Pasal 44B,"Informasi tentang ""Penghentian Penyidikan Pasal 44B"" berbentuk tablist, buka link berikut untuk selengkapnya : https://pajak.go.id/id/penghentian-penyidikan-pasal-44b"
Penanganan Kode Error E-Form,"Informasi tentang ""Penanganan Kode Error E-Form"" berbentuk table, buka link berikut untuk selengkapnya : https://pajak.go.id/id/penanganan-kode-error-e-form"
Penanganan Kode Error e-Filing,"Informasi tentang ""Penanganan Kode Error e-Filing"" berbentuk table, buka link berikut untuk selengkapnya : https://pajak.go.id/id/penanganan-kode-error-e-filing"
Prepopulated Pajak Masukan dan SPT Masa PPN pada Aplikasi e-Faktur,"Informasi tentang ""Prepopulated Pajak Masukan dan SPT Masa PPN pada Aplikasi e-Faktur"" berbentuk tablist, buka link berikut untuk selengkapnya : https://pajak.go.id/id/prepopulated-pajak-masukan-dan-spt-masa-ppn-pada-aplikasi-e-faktur"
Panduan Penggunaan Aplikasi e-objection,"Jawaban untuk ""Panduan Penggunaan Aplikasi e-objection"" terlalu panjang untuk ditampilkan. Silahkan baca langsung melalui link berikut: https://pajak.go.id/id/panduan-penggunaan-aplikasi-e-objection"
Panduan Penanganan Kode Error Layanan Online,"Informasi tentang ""Panduan Penanganan Kode Error Layanan Online"" berbentuk table, buka link berikut untuk selengkapnya : https://pajak.go.id/id/panduan-penanganan-kode-error-layanan-online"
Laporan Pasca Amnesti Pajak,"Informasi tentang ""Laporan Pasca Amnesti Pajak"" berbentuk tablist, buka link berikut untuk selengkapnya : https://pajak.go.id/id/84-laporan-pasca-amnesti-pajak"
Pemeriksaan Bukti Permulaan,"Informasi tentang ""Pemeriksaan Bukti Permulaan"" berbentuk tablist, buka link berikut untuk selengkapnya : https://pajak.go.id/id/pemeriksaan-bukti-permulaan"
Rasio Pajak (Tax Ratio) dari Masa ke Masa,"Berapa tingkat Rasio Pajak Indonesia dari tahun ke tahun?
Rasio Pajak adalah perbandingan penerimaan pajak terhadap produk domestik bruto. Rasio ini merupakan alut ukur untuk menilai kinerja penerimaan pajak suatu Negara. Komponen penerimaan pajak di Indonesia mencakup penerimaan pajak pusat, Penerimaan Negara Bukan Pajak (PNBP) Minyak dan Gas, dan PNBP Pertambangan Umum. Pajak daerah tidak menjadi komponen perhitungan Rasio Pajak. Berikut Formula Perhitungan Rasio Pajak mulai tahun 2010 sampai dengan tahun 2017 sebagaimana termuat dalam gambar.

Gambar: https://pajak.go.id/sites/default/files/inline-images/Rasio%20Pajak.jpg"
Peraturan Pemerintah Pajak Penghasilan UMKM,"Informasi tentang ""Peraturan Pemerintah Pajak Penghasilan UMKM"" berbentuk tablist, buka link berikut untuk selengkapnya : https://pajak.go.id/id/85-peraturan-pemerintah-pajak-penghasilan-umkm-0"
"Terkait Penetapan Status Suspend, Klarifikasi dan Tindak Lanjut Sesuai Peraturan Direktur Jenderal Pajak Nomor PER-19/PJ/2017 tentang Perlakuan Terhadap Penerbitan dan/atau Penggunaan Faktur Pajak Tidak Sah oleh Wajib Pajak","Informasi tentang ""Terkait Penetapan Status Suspend, Klarifikasi dan Tindak Lanjut Sesuai Peraturan Direktur Jenderal Pajak Nomor PER-19/PJ/2017 tentang Perlakuan Terhadap Penerbitan dan/atau Penggunaan Faktur Pajak Tidak Sah oleh Wajib Pajak"" panjang untuk ditampilkan di sini. Silakan baca langsung di: https://pajak.go.id/id/83-terkait-penetapan-status-suspend-klarifikasi-dan-tindak-lanjut-sesuai-peraturan-direktur"
Bagaimana Pelaksanaan PP 36 TAHUN 2017?,"Informasi tentang ""Bagaimana Pelaksanaan PP 36 TAHUN 2017?"" panjang untuk ditampilkan di sini. Silakan baca langsung di: https://pajak.go.id/id/82-bagaimana-pelaksanaan-pp-36-tahun-2017"
Batasan File Upload SPT,"Informasi tentang ""Batasan File Upload SPT"" panjang untuk ditampilkan di sini. Silakan baca langsung di: https://pajak.go.id/id/batasan-file-upload-spt"
Amnesti Pajak,"Informasi tentang ""Amnesti Pajak"" berbentuk tablist, buka link berikut untuk selengkapnya : https://pajak.go.id/id/amnesti-pajak-10"
"Apabila Wajib Pajak hanya melakukan penyampaian/pembetulan atas suatu SPT Tahunan PPh saja dan mengajukan permohonan pengurangan/penghapusan sanksi administrasi sesuai PMK-91/PMK.03/2015, apakah Wajib Pajak akan diperiksa atas masa?","Ya. Wajib Pajak dapat diperiksa sesuai dengan prosedur dan ketentuan pemeriksaan yang berlaku. Pembayaran, pelaporan, dan atau pembetulan yang dilakukan Wajib Pajak sabagaimana dimaksud dalam PMK-91/PMK.03/2015 tidak memberikan jaminan bahwa terhadap Wajib Pajak tidak dilakukan pemeriksaan pajak.
Pada dasarnya, apabila Wajib Pajak melakukan penyampaian/pembetulan SPT Tahunan PPh, maka Wajib Pajak seharusnya juga melakukan penyampaian/pembetulan SPT Masa yang dengan terkait SPT Tahunan PPh tersebut, seperti SPT Masa PPh Pemotongan/Pemungutan dan SPT Masa PPN dan/atau PPnBM."
Apakah Wajib Pajak dapat diperiksa setelah melakukan permohonan pembetulan atau penghapusan?,"Ya. Wajib Pajak dapat diperiksa sesuai dengan prosedur dan ketentuan pemeriksaan yang berlaku, misalnya Direktorat Jenderal Pajak menemukan data lain yang belum dilaporkan. Pembayaran, pelaporan, dan atau pembetulan yang dilakukan Wajib Pajak sabagaimana dimaksud dalam PMK-91/PMK.03/2015 tidak memberikan jaminan bahwa terhadap Wajib Pajak tidak dilakukan pemeriksaan pajak."
"Dalam hal Wajib Pajak melakukan kesalahan berulang, bagaimana interpretasi khilaf, padahal diketahui bahwa Wajib Pajak sudah pernah diperiksa?","Atas kesalahan yang dilakukan secara berulang, Wajib Pajak masih dinterpretasikan khilaf sepanjang memenuhi ketentuan dan persyaratan yang diatur dalam PMK-91/PMK.03/2015. Wajib Pajak tidak dapat dianggap khilaf atas suatu masa pajak atau tahun pajak apabila untuk masa pajak dan tahun pajak tersebut telah dilakukan pemeriksaan."
Apa batasan khilaf yang dapat diberikan pengurangan atau penghapusan sanksi administrasi?,"Dalam PMK-91/PMK.03/2015, yang termasuk dalam sanksi administrasi yang bisa dihapus karena khilaf ada di Pasal 2 PMK-91/PMK.03/2015 yang didukung dengan pernyataan kekhilafan dari Wajib Pajak."
"Wajib Pajak mengajukan permohonan pengurangan/penghapusan sanksi administrasi sesuai Pasal 36 ayat (1) a UU KUP, dengan keputusan yang menyatakan bahwa Wajib Pajak tidak diberikan pengurangan sanksi. Bolehkan mengajukan sesuai PMK-91/PMK.03/2015?",Ya. Wajib Pajak dapat mengajukan permohonan pengurangan/penghapusan sanksi berdasarkan PMK-91/PMK.03/2015 sebagai permohonan kedua.
Kapan PMK-91/PMK.03/2015 diterapkan?,"PMK-91/PMK.03/2015 berlaku sejak tanggal diundangkan/ditetapkan. Sehingga apabila terdapat permohonan sebelum berlakunya PMK-91/PMK.03/2015, maka atas permohonan tersebut tidak dapat diproses sebagaimana dimaksud dalam PMK-91/PMK.03/2015, tetapi diproses sesuai dengan PMK-8/PMK.03/2013."
Sampai berapa tahun ke belakangkah PMK-91/PMK.03/2015 berlaku?,"Pada hakekatnya tidak dibatasi, setidaknya untuk SPT 5 (lima) tahun ke belakang yang terhitung sejak Tahun Pajak 2014 (SPT Tahunan PPh) dan/atau Masa Pajak Desember 2014 (SPT Masa)."
Berapa kali Wajib Pajak dapat melakukan pembetulan SPT di tahun 2015 atas suatu masa pajak atau tahun pajak untuk mendapatkan fasilitas penghapusan/pengurangan sanksi administrasi?,"Tidak ada batasan, selama belum dilakukan tindakan pemeriksaan."
Apakah Wajib Pajak masih dapat memperoleh fasilitas PMK-91/PMK.03/2015 apabila permohonan disampaikan setelah tanggal 31 Desember 2015?,Wajib Pajak masih dapat mengajukan permohon karena PMK-91/PMK.03/2015 tidak mengatur batas waktu pengajuan permohonan. Permohonan penghapusan/pengurangan sanksi administrasi dapat dilakukan setelah diterbitkan STP oleh Direktorat Jenderal Pajak.
Berapa lama jangka waktu DJP harus menerbitkan keputusan atas permohonan Wajib Pajak?,"Direktur Jenderal Pajak harus menerbitkan Surat Keputusan Penghapusan Sanksi Administrasi atau Surat Keputusan Pengurangan Sanksi Administrasi paling lama 6 (enam) bulan sejak tanggal diterimanya permohonan. Apabila jangka waktu ini terlewati, maka permohonan tersebut dianggap dikabulkan dan Direktur Jenderal Pajak harus menerbitkan surat keputusan sesuai dengan permohonan yang diajukan oleh Wajib Pajak."
"Jika Wajib Pajak mengajukan permohonan pengurangan/penghapusan sanksi, bagaimana dengan proses penagihannya?","Dalam hal Wajib Pajak mengajukan permohonan penghapusan/pengurangan sanksi administrasi berdasarkan PMK-91/PMK.03/2015, maka atas STP yang diterbitkan tidak dilakukan tindakan penagihan pajak."
Kapan permohonan kedua bisa diajukan permohonan?,Permohonan kedua dapat diajukan setelah surat keputusan Direktur Jenderal Pajak atas permohonan yang pertama dikirim.
Apakah Wajib Pajak dapat mengajukan permohonan kembali jika permohonan sebelumnya dikembalikan?,"Jika permohonan sebelumnya dikembalikan, berlaku ketentuan:
1. apabila permohonan dikembalikan karena tidak memenuhi syarat Pasal 4 ayat (2) dan/atau ayat (3) PMK-91/PMK.03/2015 dan merupakan permohonan yang pertama, maka Wajib Pajak dianggap belum mengajukan permohonan sehingga masih berhak mengajukan permohonan paling banyak 2 (dua) kali;
2. apabila permohonan dikembalikan karena tidak memenuhi syarat Pasal 4 ayat (2) dan/atau ayat (3) PMK-91/PMK.03/2015 dan merupakan permohonan yang kedua, maka Wajib Pajak dianggap belum mengajukan permohonan yang kedua sehingga hanya berhak mengajukan permohonan 1 (satu) kali;
3. apabila permohonan dikembalikan karena tidak memenuhi ketentuan sebagaimana Pasal 3 dan/atau Pasal 4 ayat (4) PMK-91/PMK.03/2015, maka Wajib Pajak tidak dapat mengajukan permohonan kembali."
Dalam hal apa permohonan Wajib Pajak dikembalikan?,"Permohonan Wajib Pajak dikembalikan apabila tidak memenuhi persyaratan sebagaimana dimaksud dalam Pasal 4 ayat (2) dan (3) PMK-91/PMK.03/2015, ketentuan sebagaimana dimaksud dalam pasal 4 ayat (4) PMK-91/PMK.03/2015 dan/atau ketentuan sebagaimana dimaksud dalam Pasal 3 PMK-91/PMK.03/2015."
Berapa kali Wajib Pajak dapat memanfaatkan fasilitas penghapusan/pengurangan sanksi administrasi?,Tidak dibatasi. Wajib Pajak dapat mengajukan permohonan penghapusan sanksi administrasi atas setiap STP yang diterima yang memenuhi persyaratan dan ketentuan sebagaimana dimaksud dalam PMK-91/PMK.03/2015.
"Atas STP yang sama, berapa kali Wajib Pajak dapat mengajukan permohonan penghapusan/pengurangan sanksi administrasi?",Wajib Pajak dapat mengajukan permohonan pengurangan atau penghapusan sanksi administrasi paling banyak 2 (dua) kali.
Wajib Pajak diterbitkan STP seperti pada PMK-91/PMK.03/2015. Pada tahun 2015 terdapat kelebihan pembayaran PPh Pasal 25 yang kemudian dipindahbukukan ke STP tersebut atas permohonannya. Apakah diberikan pengurangan/penghapusan sanksi?,Pelunasan STP melalui mekanisme pemindahbukuan (Pbk) karena permohonan Wajib Pajak tidak termasuk yang dianggap belum membayar sehingga Wajib Pajak tidak dapat mengajukan permohonan karena tidak memenuhi ketentuan.
"Atas pengembalian yang diperoleh, apakah Wajib Pajak berhak meminta imbalan bunga?","Wajib Pajak tidak mendapatkan imbalan bunga. Sesuai Pasal 27A ayat (2) Undang-Undang KUP, imbalan bunga didapat sebagai akibat keberatan, banding dan Peninjauan Kembali. Selain itu, sesuai pasal 11 ayat (2) Undang-Undang KUP, imbalan bunga diberikan karena terlambat menerbitkan SKPKPP."
"Jika Wajib Pajak dibolehkan mengajukan permohonan dan sanksi dihapuskan, melalui mekanisme seperti apa atas pajak yang sudah dipotong dikembalikan?",Wajib Pajak mendapatkan pengembalian sesuai dengan ketentuan Pasal 11 ayat (1a) Undang-undang KUP dan Peraturan Menteri Keuangan Nomor 16/PMK.03/2011 tentang Tata Cara Penghitungan dan Pengembalian Kelebihan Pembayaran Pajak.
Di tahun 2015 Wajib Pajak diterbitkan SKPLB dan sudah memperoleh pengembalian. Namun KPP memotongkannya dengan semua utang pajaknya termasuk STP atas sanksi administrasi. Apakah diberikan pengurangan/penghapusan sanksi?,"Sepanjang pembetulan dan penyetoran pajak dilakukan untuk Tahun Pajak 2014 dan sebelumnya dan Masa Pajak Desember 2014 dan sebelumnya, maka Wajib Pajak dapat mengajukan permohonan penghapusan sanksi administrasi.
Ketentuan yang harus dipenuhi saat mengajukan permohonan adalah atas sanksi administrasi dalam STP belum dibayar sebagian atau seluruhnya. Pelunasan STP akibat pemotongan oleh fiskus pada saat menghitung SPMKP menurut PMK-91/PMK.03/2015 dianggap belum dibayar sehingga Wajib pajak masih berhak melakukan permohonan penghapusan sanksi administrasi."
Apakah ada ketentuan lain selain syarat dan dokumen yang harus dilampirkan?,"Ketentuan yang harus dipenuhi saat mengajukan permohonan adalah sebagai berikut:
1. Sanksi Administrasi dalam Surat Tagihan Pajak belum dibayar oleh Wajib Pajak; atau
2. Sanksi Administrasi dalam Surat Tagihan Pajak sudah dibayar sebagian oleh Wajib Pajak.
Dalam hal sanksi administrasi dalam Surat Tagihan Pajak telah diperhitungkan dengan kelebihan pembayaran pajak, yang dilakukan melalui potongan SPM dan/atau transfer pembayaran, sanksi administrasi dalam Surat Tagihan Pajak dianggap belum dibayar oleh Wajib Pajak."
"Kalau SPT dilaporkan dengan e-SPT, apakah semua SPT (induk dan lampirannya) harus dicetak atau cukup induknya saja? Bila memiliki kewajiban laporan keuangannya diaudit, apakah laporan keuangan yang telah diaudit oleh KAP tersebut harus dilampirkan?","Apabila Wajib Pajak melaporkan SPT dengan e-SPT, print out SPT (induk beserta lampirannya) harus dilampirkan sebagai persyaratan permohonan. Fotokopi dokumen yang dilampirkan dalam Lampiran SPT (laporan keuangan), tidak perlu dilampirkan dalam permohonan penghapusan."
Dokumen apa saja yang harus dilampirkan?,"Pada saat mengajukan permohonan harus dilampiri dengan dokumen sebagai berikut:
1. surat pernyataan yang menyatakan bahwa keterlambatan penyampaian SPT, keterlambatan pembayaran pajak, dan/atau pembetulan SPT dilakukan karena kekhilafan atau bukan karena kesalahan dan ditandatangani di atas meterai oleh Wajib Pajak dalam hal Wajib Pajak Orang Pribadi atau wakil Wajib Pajak dalam hal Wajib Pajak Badan;
2. fotokopi SPT atau SPT pembetulan atau printout-nya bila berbentuk dokumen elektronik;
3. fotokopi bukti tanda terima atau tanda pengiriman SPT sebagai bukti penyampaian SPT;
4. fotokopi SSP atau sarana lain sebagai bukti pelunasan; dan
5. fotokopi STP."
"Apakah permohonan dapat diterima oleh KPP apabila permohonan disampaikan oleh bukan Wajib Pajak, meskipun permohonan ditandatangani oleh Wajib Pajak?","Pada prinsipnya, sepanjang ditandatangani oleh Wajib Pajak (untuk Wajib Pajak Orang Pribadi) dan wakil Wajib Pajak (untuk Wajib Pajak Badan) permohonan dapat diterima."
Apakah syarat-syarat yang harus dipenuhi saat mengajukan permohonan pengurangan/penghapusan sanksi administrasi?,"Syarat-syarat yang harus dipenuhi adalah:
1. 1 (satu) permohonan untuk 1 (satu) Surat Tagihan Pajak;
2. secara tertulis dan menggunakan Bahasa Indonesia;
3. ditandatangani oleh Wajib Pajak (untuk Wajib Pajak Orang Pribadi), wakil Wajib Pajak (untuk Wajib Pajak Badan) dan tidak dapat dikuasakan. Untuk wakil Wajib Pajak, lihat pasal 32 ayat (1) Undang-Undang KUP;
4. disampaikan ke KPP dimana Wajib Pajak terdaftar."
Apakah sanksi administrasi yang timbul karena pemeriksaan dapat diberikan fasilitas pengurangan/penghapusan sanksi administrasi?,Tidak. Fasilitas ini hanya diberikan atas sanksi administrasi karena pelaksanaanself assessment systemoleh Wajib Pajak.
SPT apa saja yang menjadi ruang lingkup pengajuan permohonan penghapusan sanksi dalam PMK-91/PMK.03/2015?,"Surat Pemberitahuan (SPT) yang menjadi ruang lingkup adalah:
1. SPT Tahunan PPh Badan,
2. SPT Tahunan PPh Orang Pribadi,
3. SPT Masa PPh,
4. SPT Masa PPN, dan
5. SPT Masa PPN bagi Pemungut PPN."
Sanksi administrasi mana saja yang termasuk dalam ruang lingkup kebijakan di PMK-91/PMK.03/2015?,"Sanksi administrasi yang dapat dihapuskan sesuai kebijakan ini adalah:
1. Denda karena keterlambatan penyampaian SPT sebagaimana dimaksud dalam Pasal 7 Undang-Undang KUP;
2. Bunga karena pembetulan SPT Tahunan yang mengakibatkan utang pajak menjadi lebih besar sebagaimana dimaksud dalam Pasal 8 ayat (2) Undang-Undang KUP;
3. Bunga karena pembetulan SPT Masa yang mengakibatkan utang pajak menjadi lebih besar sebagaimana dimaksud dalam Pasal 8 ayat (2a) Undang-Undang KUP;
4. Bunga karena keterlambatan pembayaran atau penyetoran pajak yang terutang dalam SPT Masa sebagaimana dimaksud dalam Pasal 9 ayat (2a) Undang Undang KUP;
5. Bunga karena keterlambatan pembayaran atau penyetoran kekurangan pajak yang tercantum dalam SPT Tahunan sebagaimana dimaksud dalam Pasal 9 ayat (2b) Undang-Undang KUP; dan/atau
6. Denda karena tidak membuat atau terlambat membuat Faktur Pajak sebagaimana dimaksud dalam Pasal 14 ayat (4) Undang-Undang KUP."
Apakah ada batasan mengenai sanksi administrasi yang dapat dikurangkan atau dihapuskan dalam PMK-91/PMK.03/2015?,"Informasi tentang ""Apakah ada batasan mengenai sanksi administrasi yang dapat dikurangkan atau dihapuskan dalam PMK-91/PMK.03/2015?"" panjang untuk ditampilkan di sini. Silakan baca langsung di: https://pajak.go.id/id/12-apakah-ada-batasan-mengenai-sanksi-administrasi-yang-dapat-dikurangkan-atau-dihapuskan-dalam-pmk"
Apakah pemberian pengurangan atau penghapusan sanksi administrasi ini masih perlu surat permohonan dari Wajib Pajak?,"Ya. Hal tersebut dimaksudkan agar pelaksanaannya dapat berjalan secara tertib administrasi, baik dari sisi Wajib Pajak selaku pemohon maupun Direktur Jenderal Pajak selaku termohon."
Apakah yang harus dilakukan Wajib Pajak untuk mendapatkan fasilitas pengurangan atau penghapusan sanksi administrasi?,"Untuk memperoleh fasilitas pengurangan atau penghapusan sanksi administrasi, Wajib Pajak menyampaikan permohonan kepada Direktur Jenderal Pajak. Permohonan disampaikan ke KPP dimana Wajib Pajak terdaftar."
Wajib Pajak telah melakukan pembetulan SPT atau melaporkan SPT terlambat atau terlambat membayar serta sudah diterbitkan STP sebelum berlakunya PMK-91/PMK.03/2015. Dapatkah mengajukan permohonan pengurangan atau penghapusan sanksi?,"Sepanjang masa pajak dan tahun pajak memenuhi ketentuan PMK-91/PMK.03/2015 dan pembetulan, pembayaran, dan/atau pelaporan dilakukan oleh Wajib Pajak di tahun 2015, maka Wajib Pajak dapat mengajukan permohonan, walaupun permohonan diajukan setelah tahun 2015."
Mengapa tetap harus diterbitkan Surat Tagihan Pajak (STP)?,"Hal tersebut sesuai dengan prosedur dalam Undang-Undang KUP, dimana setiap sanksi administrasi yang dikenakan harus diterbitkan Surat Tagihan Pajak (STP)."
Kapan Wajib Pajak dapat mengajukan permohonan penghapusan sanksi administrasi?,"Wajib Pajak dapat mengajukan permohonan penghapusan sanksi pada tahun 2015 maupun sesudahnya, namun harus melakukan terlebih dahulu pembetulan SPT atau pelunasan kekurangan pajak di tahun 2015."
Adakah batasan atas sanksi yang dapat dimohonkan pengurangan atau penghapusan sanksi administrasi?,"Sanksi adminstrasi yang dapat dimohonkan adalah sanksi yang timbul akibat pelaporan, pembetulan, pembayaran SPT Tahunan 2014 dan sebelumnya dan/atau SPT Masa Desember 2014 dan sebelumnya yang dilakukan di tahun 2015."
